sales_year,city_category,product_id,product_name,total_quantity,total_amount_dollars
2021,A,P00251242,"Yo-Yo 16",23,46667
2021,A,P00014542,"Cello 61",40,158280
2021,A,P00031342,"Flute 22",2,12146
2021,A,P00145042,"Gaming Monitor 8",15,171855
2021,A,P00231342,"Face Wash 9",12,64536
2021,A,P00190242,"Engine Oil 27",13,27027
2021,A,P0096642,"Pendant 24",15,147525
2021,A,P00058442,"Ankle Boots 70",15,53280
2021,A,P00223742,"TV Stand 10",4,39552
2021,A,P00150842,"Face Mask 75",18,53784
2021,A,P00232042,"Clogs 29",5,8730
2021,A,P00110542,"Headset 21",26,206024
2021,A,P00254242,"Eye Drops 99",3,10863
2021,A,P00318142,"Pencil Sharpener 105",7,68264
2021,A,P00177542,"Laptop 55",21,244356
2021,A,P00196042,"Brooch 77",19,40242
2021,A,P00199442,"Cat Scratcher 11",15,28215
2021,A,P00042842,"Wireless Charger 31",10,36970
2021,A,P00221542,"Iron 71",17,89760
2021,A,P00206042,"Cricket Bat 67",7,36015
2021,A,P00294842,"Console 36",12,94800
2021,A,P00116542,"Espadrilles 13",17,89165
2021,A,P00059642,"Gamepad 9",22,261844
2021,A,P00368142,"Travel Guide 103",11,108108
2021,A,P00123842,"Pet Nail Clipper 86",14,64820
2021,A,P00127542,"Pendant 78",10,38360
2021,A,P00116842,"Face Wash 81",11,110319
2021,A,P00153742,"Milk 0",10,58680
2021,A,P00295842,"Boxing Gloves 11",12,21552
2021,A,P00181842,"Coffee Maker 10",5,30265
2021,A,P00327642,"Pain Reliever 98",12,37632
2021,A,P00140742,"Food Processor 48",9,106191
2021,A,P00129342,"Choker 102",19,73454
2021,A,P00118142,"VR Headset 61",8,49072
2021,A,P00057442,"Speaker 98",10,35470
2021,A,P00100842,"Guitar 72",23,118335
2021,A,P00323042,"Sweater 94",10,53270
2021,A,P00256442,"Mouse 6",0,0
2021,A,P00089542,"Nail Polish 24",9,49023
2021,A,P00215042,"Pain Reliever 62",0,0
2021,A,P00085642,"Swimwear 86",12,64980
2021,A,P00353142,"Car Cover 64",10,68530
2021,A,P00086342,"First Aid Kit 37",5,48685
2021,A,P00276242,"First Aid Kit 55",12,95676
2021,A,P00031742,"Bagpipes 65",2,15590
2021,A,P00120542,"Board Game 20",4,23520
2021,A,P00334242,"Pendant 96",33,126357
2021,A,P00247542,"Nightstand 79",3,17871
2021,A,P00338442,"Self-Help 25",18,205470
2021,A,P00275142,"Yoga Mat 21",0,0
2021,A,P00333042,"Running Shoes 97",2,7188
2021,A,P00166242,"Moccasins 10",9,37881
2021,A,P00161942,"Onions 34",27,144801
2021,A,P00348242,"Pet Shampoo 26",9,70227
2021,A,P00042142,"Body Scrub 104",14,160412
2021,A,P00238442,"Car Mats 70",44,538340
2021,A,P00125342,"Cat Litter 19",0,0
2021,A,P00367242,"Power Supply 107",7,22141
2021,A,P00059742,"Dryer 27",11,130053
2021,A,P00176642,"Dresser 47",1,16232
2021,A,P00115742,"Drone 25",4,65240
2021,A,P00323942,"Car Vacuum 103",2,11646
2021,A,P00032042,"Ankle Boots 34",15,124470
2021,A,P00085842,"Heels 4",9,6705
2021,A,P00304042,"Board Game 74",10,52900
2021,A,P00010742,"Coat 81",20,159760
2021,A,P00278242,"Hair Pin 85",0,0
2021,A,P00284842,"Nasal Spray 105",11,214137
2021,A,P00175642,"Jeans 55",1,7764
2021,A,P00222842,"Biography 92",19,115710
2021,A,P00117742,"Garden Gloves 100",24,97680
2021,A,P00054942,"Steering Wheel 103",7,26117
2021,A,P00137542,"Body Lotion 61",0,0
2021,A,P00002442,"Ring 73",10,60310
2021,A,P00248542,"Blender 75",6,24024
2021,A,P00112542,"Shorts 41",32,247872
2021,A,P00339542,"Headset 93",0,0
2021,A,P00127842,"Headset 57",2,22856
2021,A,P00125942,"Garden Kneeler 33",14,164010
2021,A,P00251342,"Pet Bed 38",38,203376
2021,A,P00249642,"Console 72",7,37128
2021,A,P00124842,"Apples 57",9,14238
2021,A,P00250642,"Bananas 22",5,23320
2021,A,P00058142,"Concealer 89",10,82900
2021,A,P00117442,"Marbles 87",43,157509
2021,A,P00251642,"Pet Leash 59",11,46321
2021,A,P00244842,"Paper Clips 5",9,13851
2021,A,P00026742,"Paper Shredder 14",1,7864
2021,A,P00351142,"Hand Cream 13",38,162602
2021,A,P00213242,"Smartphone 36",19,130701
2021,A,P00195942,"Bagpipes 11",16,128624
2021,A,P00115642,"Cat Scratcher 47",45,263430
2021,A,P0098242,"Whiteboard 29",19,73625
2021,A,P00262242,"Non-Fiction 42",18,70740
2021,A,P00258742,"Yogurt 29",18,95202
2021,A,P00218242,"Action Figure 54",8,43072
2021,A,P00021742,"Binder 78",52,267228
2021,A,P00313042,"Clarinet 44",12,62016
2021,A,P00133742,"Bird Cage 94",8,27592
2021,A,P00077042,"Smart TV 40",2,3496
2021,A,P00280542,"Body Scrub 14",5,22350
2021,A,P00225842,"Slippers 79",1,9564
2021,A,P00018642,"Travel Guide 85",2,7962
2021,A,P00054042,"Hand Cream 85",7,21378
2021,A,P00228642,"Toaster 5",0,0
2021,A,P0098442,"Ottoman 89",19,322696
2021,A,P00106642,"Dog Toys 96",14,286202
2021,A,P00114442,"Car Cover 82",2,17474
2021,A,P00228042,"Swimwear 50",5,26175
2021,A,P00074242,"Plant Marker 53",8,29144
2021,A,P00053742,"Sneakers 36",9,48411
2021,A,P0094742,"Deck Shoes 68",7,67543
2021,A,P00036442,"Fishing Rod 86",10,167060
2021,A,P00064142,"Printer 92",12,200652
2021,A,P00346642,"Cardigan 103",9,20070
2021,A,P00205642,"Toe Ring 69",0,0
2021,A,P00021942,"Pen 19",0,0
2021,A,P00157142,"Violin 57",23,37812
2021,A,P00300042,"Pet Shampoo 44",2,24324
2021,A,P00042342,"Garden Fork 48",17,70312
2021,A,P00221242,"Ukulele 16",7,57204
2021,A,P00113842,"Jump Rope 28",5,80290
2021,A,P00029242,"Bananas 94",4,24672
2021,A,P00133842,"Sleep Aid 30",7,42539
2021,A,P00022842,"Baseball Glove 8",15,52095
2021,A,P00067142,"Hole Punch 49",0,0
2021,A,P00086442,"Joystick 66",21,123606
2021,A,P00321942,"Sofa 90",11,58190
2021,A,P00315642,"VR Headset 7",6,24096
2021,A,P00253242,"Anklet 7",10,52790
2021,A,P00197042,"Bicycle 60",7,24143
2021,A,P00346542,"Tank Top 28",36,335304
2021,A,P00324742,"Cough Syrup 97",5,64540
2021,A,P00196642,"Pet Leash 41",12,94800
2021,A,P00195542,"Camera 77",11,140503
2021,A,P0099342,"Ukulele 52",9,18108
2021,A,P00046742,"Hedge Trimmer 31",10,114460
2021,A,P00250542,"Desk 23",14,20356
2021,A,P00313342,"Shoe Rack 34",41,145509
2021,A,P00316742,"Ankle Boots 88",25,35475
2021,A,P00282642,"Brooch 41",7,25123
2021,A,P00190142,"Action Camera 15",3,25308
2021,A,P00196142,"Keyboard 41",7,74760
2021,A,P00187442,"Moccasins 64",10,65870
2021,A,P00303142,"Bagpipes 101",1,5156
2021,A,P0097242,"Yoga Mat 93",18,138024
2021,A,P00274142,"Oil Filter 37",22,261778
2021,A,P00277842,"Locket 68",21,245532
2021,A,P00184442,"Steering Wheel 67",25,95500
2021,A,P0095342,"Vitamins 72",5,65480
2021,A,P00071442,"Tank Top 10",52,865852
2021,A,P00154242,"Nasal Spray 87",6,23436
2021,A,P00205442,"Smart TV 4",37,191845
2021,A,P00285442,"Food Processor 84",9,52695
2021,A,P00111742,"Pet Bed 20",20,175000
2021,A,P00293742,"Hat 35",13,78962
2021,A,P00032842,"Bicycle 78",8,33696
2021,A,P00216142,"Desk Lamp 21",25,197325
2021,A,P00001642,"Harmonica 63",6,35418
2021,A,P00351842,"Body Scrub 32",18,94644
2021,A,P00145442,"Hole Punch 13",6,23628
2021,A,P00344242,"Joystick 84",14,54894
2021,A,P00327242,"Bird Cage 22",6,31680
2021,A,P00241142,"Garden Gloves 28",8,63272
2021,A,P00219242,"Sunscreen 84",31,25141
2021,A,P00057342,"Blush 16",10,20810
2021,A,P00165742,"Fantasy 23",14,111916
2021,A,P00154642,"Washing Machine 74",20,77940
2021,A,P00192942,"Whiteboard 83",2,7522
2021,A,P00247042,"Foundation 58",21,73563
2021,A,P00150542,"Antacid 82",13,26624
2021,A,P00347142,"Bird Feeder 31",3,15987
2021,A,P00326742,"Whiteboard 101",3,9654
2021,A,P00085942,"Toy Train 80",60,214800
2021,A,P00330442,"Cat Scratcher 101",9,62397
2021,A,P00327842,"Chicken 5",17,99977
2021,A,P00218342,"Violin 75",6,31302
2021,A,P00259042,"Portable Hard Drive 88",1,8757
2021,A,P0096442,"Vacuum Cleaner 7",11,22726
2021,A,P00236942,"Air Freshener 42",12,8436
2021,A,P00190442,"Necklace 0",4,3224
2021,A,P00053842,"Washing Machine 92",13,18980
2021,A,P00230342,"Sofa 72",14,50568
2021,A,P00182642,"Piano 55",11,110726
2021,A,P00065042,"Pajamas 29",10,51610
2021,A,P00224342,"Bluetooth Speaker 64",10,80380
2021,A,P00024742,"Soil Test Kit 52",10,41750
2021,A,P00037342,"Pen 37",5,30940
2021,A,P00051442,"Compost Bin 99",9,69939
2021,A,P00126142,"Cabinet 14",45,265050
2021,A,P00171542,"Desk Organizer 64",4,14324
2021,A,P00059442,"Underwear 15",20,242000
2021,A,P00220442,"Bar Stool 85",30,160770
2021,A,P00227742,"Dog Food 54",13,25259
2021,A,P00354342,"Harmonica 99",10,52680
2021,A,P00223642,"Pasta 44",10,45330
2021,A,P00179642,"Docking Station 70",3,13263
2021,A,P00163142,"Toe Ring 105",1,12270
2021,A,P00093642,"Kayak 107",13,156507
2021,A,P00307642,"Router 27",8,13880
2021,A,P00277542,"Rubber Bands 17",11,42218
2021,A,P00111142,"Charm 10",19,158384
2021,A,P00303742,"Tomatoes 50",13,76505
2021,A,P00022942,"Cookbook 91",8,27552
2021,A,P00272242,"Tie Clip 9",12,73236
2021,A,P00075742,"Camera 95",24,190272
2021,A,P00224142,"Moccasins 82",13,79131
2021,A,P00027642,"Tire 75",11,46794
2021,A,P00265542,"Suit 98",13,70629
2021,A,P00041742,"Car Wax 58",1,6071
2021,A,P00046142,"Fertilizer 55",40,615720
2021,A,P00127242,"Dress 57",1,7963
2021,A,P00244042,"Garden Rake 95",26,300768
2021,A,P00053542,"Car Battery 72",14,106722
2021,A,P00240142,"Doll 19",17,34442
2021,A,P00212942,"Bird Cage 76",13,70746
2021,A,P00227842,"Cat Toys 79",2,19830
2021,A,P00137242,"Skirt 42",5,26920
2021,A,P00207242,"Car Jack 80",17,89488
2021,A,P00328342,"Oil Filter 55",5,34830
2021,A,P00255842,"Bracelet 20",11,133155
2021,A,P00055142,"Marbles 15",0,0
2021,A,P00130742,"Washing Machine 38",10,77060
2021,A,P00184642,"Golf Shoes 33",4,23632
2021,A,P00138342,"Scarf 106",10,81360
2021,A,P00188242,"Bangle 29",12,46740
2021,A,P00070342,"Microphone 101",0,0
2021,A,P00137142,"Bracelet 56",5,2945
2021,A,P00238742,"Moisturizer 75",8,4664
2021,A,P00102142,"Tie Clip 63",13,7514
2021,A,P00220742,"Car Battery 54",6,58530
2021,A,P00022442,"Banjo 66",8,63488
2021,A,P00026242,"Treadmill 77",5,29650
2021,A,P00066442,"Board Game 2",10,35240
2021,A,P00273442,"Bass Guitar 13",22,30382
2021,A,P00210142,"Thriller 99",11,47575
2021,A,P00212542,"Yogurt 101",6,24108
2021,A,P00321742,"Pet Water Fountain 107",26,89232
2021,A,P00020042,"Plant Pot 2",1,3715
2021,A,P00051942,"Running Shoes 7",11,38280
2021,A,P00303542,"Steering Wheel Cover 101",4,6980
2021,A,P00228142,"Thermometer 92",5,35795
2021,A,P00075542,"Frisbee 12",13,129688
2021,A,P00186542,"Soil Test Kit 16",5,49375
2021,A,P00304442,"Washing Machine 20",2,22904
2021,A,P00114042,"Mouse 78",13,68003
2021,A,P00357242,"Tire 39",11,96921
2021,A,P00118542,"Bubble Wand 89",22,154220
2021,A,P00319342,"Tablet 38",39,134238
2021,A,P00118442,"Romance 26",7,82488
2021,A,P00313442,"Garden Kneeler 51",8,41816
2021,A,P00031042,"Notebook 90",24,187512
2021,A,P00127042,"Clogs 65",1,2164
2021,A,P00138842,"Dress 93",5,9070
2021,A,P00279642,"Vitamins 90",8,67728
2021,A,P0094342,"Dining Table 73",11,23199
2021,A,P00317142,"Children's Book 105",2,19216
2021,A,P00309942,"Plant Pot 74",13,67366
2021,A,P00226942,"Action Figure 36",13,40313
2021,A,P00120342,"Garden Rake 5",11,75823
2021,A,P00050842,"Running Shoes 61",12,247644
2021,A,P00117642,"Lego Set 5",8,185272
2021,A,P00200642,"Video Doorbell 12",13,179881
2021,A,P00115142,"Tracksuit 30",16,247440
2021,A,P00266642,"Apples 3",0,0
2021,A,P00128942,"Wardrobe 96",0,0
2021,A,P00334042,"Cat Litter 55",12,186912
2021,A,P00122442,"Science Fiction 93",10,41990
2021,A,P00348542,"Fantasy 95",12,139176
2021,A,P00081842,"Chicken 77",13,78117
2021,A,P00157342,"Textbook 104",8,77704
2021,A,P00152442,"Cough Syrup 79",6,47256
2021,A,P00042742,"Blender 57",14,49546
2021,A,P00102442,"Frisbee 66",10,59800
2021,A,P00215642,"Moisturizer 93",5,20025
2021,A,P00317942,"Bangle 101",25,55350
2021,A,P00335542,"File Folder 99",11,64295
2021,A,P00120442,"Garden Gloves 64",10,78600
2021,A,P00002242,"Coat 9",15,189900
2021,A,P00171342,"Antacid 64",9,5220
2021,A,P00074342,"Seat Cover 12",6,10572
2021,A,P00041342,"Clipboard 30",6,36066
2021,A,P00039742,"Bass Guitar 85",3,20769
2021,A,P00156742,"Locket 86",14,25018
2021,A,P00139542,"Blouse 79",13,89856
2021,A,P00216442,"Armchair 66",3,21567
2021,A,P00084442,"Inhaler 68",13,9854
2021,A,P00055642,"Highlighter 79",13,18811
2021,A,P0097142,"Hockey Stick 12",13,13416
2021,A,P00266942,"Bread 1",3,6639
2021,A,P00040342,"Potatoes 51",6,9654
2021,A,P00074042,"Pet Shampoo 80",8,33208
2021,A,P00041042,"Yo-Yo 88",8,66320
2021,A,P00052742,"Side Table 51",1,8670
2021,A,P00049242,"Pet Water Fountain 71",13,26247
2021,A,P00140442,"Inhaler 86",1,7745
2021,A,P00269242,"Pruning Shears 4",3,8943
2021,A,P00184342,"Gamepad 63",8,64312
2021,A,P00003242,"Boxing Gloves 29",14,84378
2021,A,P00101842,"Trombone 33",11,138094
2021,A,P00015742,"Digestive Enzyme 85",12,149148
2021,A,P00361842,"Windshield Wiper 38",10,89850
2021,A,P00366542,"Oven 4",3,5340
2021,A,P00195742,"Dishwasher 98",8,84504
2021,A,P00114342,"Oven 22",9,136440
2021,A,P00249042,"Yogurt 47",8,133008
2021,A,P00265242,"Coffee Maker 82",64,444416
2021,A,P00170442,"Air Conditioner 6",19,68856
2021,A,P00010842,"Cough Syrup 7",3,18039
2021,A,P00106042,"Clarinet 98",14,73738
2021,A,P00100942,"Blood Pressure Monitor 5",32,223168
2021,A,P00331942,"Fishing Rod 50",4,7764
2021,A,P00022542,"Bluetooth Speaker 100",3,5748
2021,A,P00350442,"Banjo 12",27,99576
2021,A,P00022642,"Coffee Table 98",6,31014
2021,A,P00268442,"Pet Nail Clipper 104",16,35072
2021,A,P00242742,"Bicycle 42",10,42930
2021,A,P00139942,"Trumpet 23",4,14032
2021,A,P00248142,"Watch 58",9,32751
2021,A,P00114642,"Potatoes 87",7,48699
2021,A,P00255742,"Wireless Charger 103",1,8182
2021,A,P00004742,"E-Reader 65",5,42405
2021,A,P00101942,"Pet Bed 74",14,84462
2021,A,P00106942,"Clipboard 12",10,80860
2021,A,P00121342,"Aquarium Filter 30",32,371776
2021,A,P00111842,"Dishwasher 80",22,174548
2021,A,P00304142,"Hand Sanitizer 58",11,58289
2021,A,P00249842,"Hamster Wheel 34",2,4460
2021,A,P00008542,"Tablet 92",9,57681
2021,A,P00323442,"Dining Table 91",10,37010
2021,A,P00129442,"Printer 56",9,61857
2021,A,P00021042,"Sandals 38",10,61490
2021,A,P00042242,"Non-Fiction 96",3,5610
2021,A,P00256642,"Garden Hose 36",17,62679
2021,A,P00344742,"Cufflinks 62",0,0
2021,A,P00261842,"Food Processor 102",10,63670
2021,A,P00105342,"Loafers 93",19,223934
2021,A,P00298442,"Notebook 18",22,183348
2021,A,P00221142,"Blouse 61",11,85712
2021,A,P00016742,"Windshield Wiper 74",2,7730
2021,A,P00368642,"Compost Bin 81",3,13431
2021,A,P00368042,"Cheese 82",6,38112
2021,A,P00288542,"Sandals 92",7,55531
2021,A,P00013742,"Binder 6",18,94212
2021,A,P00036842,"Water Gun 14",12,54336
2021,A,P00119342,"Paper Shredder 32",4,76596
2021,A,P00182142,"Paper Shredder 68",3,36348
2021,A,P00188942,"Oil Filter 19",4,23364
2021,A,P00203142,"Pet Shampoo 62",5,83490
2021,A,P00320442,"Yogurt 11",12,104004
2021,A,P00121642,"Cat Litter 73",18,65484
2021,A,P00289542,"Bird Cage 4",13,105794
2021,A,P00329742,"Hiking Boots 107",5,62110
2021,A,P00326642,"Chair 39",11,85426
2021,A,P00346142,"Scarf 88",2,24220
2021,A,P00336142,"Graphic Novel 29",13,68692
2021,A,P00111442,"Chicken 59",1,7965
2021,A,P00087242,"E-Reader 101",12,95364
2021,A,P0099442,"Shovel 78",13,164255
2021,A,P00113442,"Tank Top 82",13,174382
2021,A,P00174042,"Nasal Spray 33",1,2070
2021,A,P00069342,"Running Shoes 79",10,87340
2021,A,P00110942,"Mouse 42",28,321216
2021,A,P00188042,"Pajamas 11",6,41442
2021,A,P00144642,"Yo-Yo 70",13,100399
2021,A,P00071242,"Bar Stool 49",12,136728
2021,A,P00201342,"Dog Collar 100",13,104156
2021,A,P00205942,"Ballet Flats 102",8,27448
2021,A,P00327342,"Trumpet 59",5,80665
2021,A,P00328142,"Loafers 21",3,12759
2021,A,P00089142,"Hedge Trimmer 13",14,99834
2021,A,P00216342,"Jeans 19",31,251565
2021,A,P00289742,"Inhaler 14",3,29814
2021,A,P00085042,"Dog Food 90",12,62148
2021,A,P00184942,"USB Flash Drive 107",45,523935
2021,A,P00041542,"Tire Pressure Gauge 105",2,15946
2021,A,P00249142,"Espadrilles 67",6,22212
2021,A,P00284042,"Guitar 54",33,66627
2021,A,P00165442,"Ballet Flats 84",4,47384
2021,A,P00115942,"Eye Cream 64",5,10150
2021,A,P00278642,"Dining Table 19",56,292488
2021,A,P00127942,"Trombone 87",33,134013
2021,A,P00074442,"Plant Marker 35",12,139428
2021,A,P00047242,"Dishwasher 44",15,117030
2021,A,P00199042,"Choker 12",4,62496
2021,A,P00192542,"Tracksuit 48",9,69606
2021,A,P00350042,"Shampoo 73",11,132924
2021,A,P00124642,"Belt Buckle 35",14,235592
2021,A,P00360542,"Mouse 24",7,146104
2021,A,P00200242,"Action Camera 33",6,48666
2021,A,P00009342,"Dog Collar 28",10,121160
2021,A,P00334642,"Dehumidifier 34",3,46095
2021,A,P00124242,"Game Disc 92",9,14283
2021,A,P00086142,"VR Headset 86",14,123536
2021,A,P00336942,"Building Blocks 43",11,76197
2021,A,P00209942,"Fishing Rod 32",3,16182
2021,A,P00349942,"Cabinet 50",11,89595
2021,A,P00226542,"Car Vacuum 31",13,204308
2021,A,P00316942,"Bass Guitar 103",9,19593
2021,A,P00233042,"Hair Dryer 95",1,8205
2021,A,P00142342,"Vitamins 18",10,87040
2021,A,P00248442,"Air Conditioner 24",4,42680
2021,A,P00274242,"Watering Can 79",6,49860
2021,A,P00362842,"Bread 91",4,14132
2021,A,P00190742,"Bubble Wand 71",0,0
2021,A,P00088842,"Historical Fiction 100",6,34980
2021,A,P00113642,"Hiking Boots 89",10,77780
2021,A,P00104842,"Weed Killer 80",11,88264
2021,A,P00025642,"Cat Toys 61",18,38196
2021,A,P00052542,"Blender 3",9,71676
2021,A,P00178842,"Sunscreen 48",12,119100
2021,A,P00195842,"Sneakers 72",14,111468
2021,A,P00148642,"Pet Nail Clipper 32",17,204238
2021,A,P00235842,"Car Vacuum 67",12,54612
2021,A,P00345842,"Diadem 106",6,57414
2021,A,P00233642,"Concealer 71",9,105768
2021,A,P00363342,"Baseball Glove 26",5,21990
2021,A,P00117042,"Bookshelf 22",7,56532
2021,A,P00216042,"Bandages 96",14,24402
2021,A,P00337842,"Children's Book 69",24,41592
2021,A,P00282042,"Golf Shoes 87",8,42520
2021,A,P00112442,"Deck Shoes 32",31,264399
2021,A,P00106742,"Streaming Device 32",12,126756
2021,A,P00120842,"Accordion 64",1,8023
2021,A,P00007142,"Essay Collection 89",8,57104
2021,A,P00365242,"Sandals 74",9,49077
2021,A,P00221442,"Perfume 74",34,392054
2021,A,P00128742,"Dog Collar 46",13,149123
2021,A,P00167942,"Hiking Boots 53",14,116690
2021,A,P00073842,"Desk Organizer 46",27,213246
2021,A,P00147742,"Scissors 80",15,171300
2021,A,P00127442,"Body Lotion 43",27,213678
2021,A,P00003942,"VR Headset 32",13,45786
2021,A,P00127642,"Speaker 8",4,63440
2021,A,P00201442,"Ukulele 106",5,57175
2021,A,P00212242,"Brake Pads 79",16,124960
2021,A,P00278942,"Highlighter 7",10,152880
2021,A,P00155442,"Nightstand 25",0,0
2021,A,P00261542,"Historical Fiction 82",11,138226
2021,A,P00235542,"Lego Set 41",8,25688
2021,A,P00207442,"Dehumidifier 70",2,17078
2021,A,P00159842,"Moisturizer 21",3,12753
2021,A,P00210342,"Novel 0",8,64808
2021,A,P00355142,"Brooch 95",3,12195
2021,A,P00170242,"Headphones 3",10,133150
2021,A,P00210042,"Foundation 40",0,0
2021,A,P00054242,"Loafers 75",13,151294
2021,A,P00194542,"Science Fiction 3",13,103129
2021,A,P00201042,"Plush Toy 96",6,23646
2021,A,P00020442,"Dryer 99",3,11982
2021,A,P00192842,"Pencil Sharpener 51",10,71100
2021,A,P00119742,"Underwear 105",3,21057
2021,A,P00196542,"Lipstick 54",9,17487
2021,A,P00084342,"Running Shoes 43",5,2815
2021,A,P00109242,"Guitar 0",11,133364
2021,A,P00189842,"Iron 89",14,75068
2021,A,P00128342,"Electric Grill 33",8,15528
2021,A,P00361942,"Car Jack 8",14,59206
2021,A,P00351042,"Board Game 92",10,17820
2021,A,P00207942,"Laptop 37",1,16478
2021,A,P00189142,"Router 45",9,89775
2021,A,P00044442,"Video Doorbell 48",22,258544
2021,A,P00070942,"Pet Leash 23",0,0
2021,A,P00075442,"Clogs 83",1,5315
2021,A,P00070742,"Seat Cover 84",6,20604
2021,A,P00155642,"Microwave 90",1,8030
2021,A,P00286342,"Bananas 40",3,61797
2021,A,P00116142,"Shoe Rack 88",1,9732
2021,A,P00258842,"Pet Bed 2",7,48454
2021,A,P00258942,"Golf Shoes 51",7,49679
2021,A,P00225642,"Tomatoes 86",7,41916
2021,A,P00256942,"Onions 88",4,39868
2021,A,P00360742,"Earrings 93",0,0
2021,A,P00118942,"Garden Kneeler 15",3,29367
2021,A,P00003642,"Controller 55",4,16768
2021,A,P00117542,"Camera 59",22,50908
2021,A,P00128142,"Pasta 26",17,198815
2021,A,P00108942,"Capture Card 87",14,108668
2021,A,P00237942,"Tank Top 64",5,49320
2021,A,P00078742,"Skateboard 33",13,22334
2021,A,P00107642,"Headphones 39",9,48258
2021,A,P00183542,"Dog Food 18",12,17964
2021,A,P00318742,"Bird Feeder 13",7,55916
2021,A,P00271142,"Toy Train 26",10,34440
2021,A,P00186842,"Video Game 63",1,11012
2021,A,P00193742,"Xylophone 53",3,17517
2021,A,P00226142,"Compost Bin 27",13,28977
2021,A,P00354942,"Pain Reliever 8",7,42252
2021,A,P00321842,"Sprinkler 14",13,102336
2021,A,P00222442,"Wardrobe 42",14,72058
2021,A,P00278042,"Biography 2",6,70254
2021,A,P00154042,"Pet Leash 95",9,73395
2021,A,P00014042,"Non-Fiction 6",13,101868
2021,A,P00283542,"Non-Fiction 24",5,26380
2021,A,P00161542,"File Folder 27",8,51168
2021,A,P00010242,"Seat Cover 48",17,92361
2021,A,P00265642,"Wheelbarrow 11",0,0
2021,A,P00179342,"Nightstand 97",0,0
2021,A,P00265842,"RC Car 46",1,6884
2021,A,P00158042,"Spark Plug 59",6,36162
2021,A,P00303842,"Moisturizer 39",9,49167
2021,A,P00039542,"Hiking Boots 35",13,105742
2021,A,P00283242,"Rice 78",4,27636
